"topic_id","program_topic","unit","book_section","status","depth","prerequisites","notes"
"U01-01","Concepto de acústica y aplicaciones","1","1.1 Qué estudia la acústica; 1.10 Cierre aplicado","covered","introductoria con proyección profesional","ninguno","Distingue fenómeno físico, medición y percepción; vincula voz, audición, ambiente y tecnología."
"U01-02","Sistema Internacional de Unidades","1","1.2–1.3","covered","operativa básica","aritmética elemental","Incluye magnitudes, unidades, prefijos y conversiones."
"U01-03","Velocidad y distancia","1","1.2–1.4","covered","conceptual y de cálculo","proporciones","Se formaliza velocidad como razón y se recupera luego para propagación."
"U01-04","Masa y peso","1","1.2; 1.4","covered","distinción conceptual","ninguno","Se evita tratarlos como sinónimos; peso se relaciona con fuerza."
"U01-05","Tiempo","1","1.2–1.4","covered","operativa básica","ninguno","Base para período, frecuencia, exposición y reverberación."
"U01-06","Presión","1","1.2; 1.4","covered","introductoria","fuerza y área intuitivas","Se retoma formalmente en U2 y como presión acústica en U4."
"U01-07","Densidad","1","1.2; 1.4","covered","introductoria","masa y volumen","Prerrequisito para velocidad de propagación e impedancia."
"U01-08","Fuerza","1","1.2; 1.4","covered","introductoria","masa y aceleración intuitivas","Se formaliza con las leyes de Newton en U2."
"U01-09","Función y función inversa","1","1.5","covered","conceptual y gráfica","álgebra elemental","Se emplea en relaciones exponenciales/logarítmicas y despejes."
"U01-10","Trigonometría: seno, coseno y tangente","1","1.6","covered","instrumental","ángulos y triángulos","Seno y coseno se reutilizan en MAS, ondas y fase; tangente queda como base geométrica."
"U01-11","Función exponencial y logaritmo","1","1.7–1.8","covered","instrumental","potencias","Se conecta explícitamente con decibeles y escalas multiplicativas."
"U01-X1","Notación científica, análisis dimensional y cifras significativas","1","1.2–1.3","out_of_scope","ampliación instrumental necesaria","aritmética","Excede el listado literal del programa, pero reduce errores en todas las unidades."
"U01-X2","Distinción entre magnitud física y descriptor perceptual","1","1.1; 1.9","out_of_scope","marco conceptual transversal","ninguno","Ampliación didáctica especialmente útil para U4 y U7."
"U02-01","Primera ley de Newton","2","2.2","covered","conceptual y aplicada","fuerza, masa, velocidad","Incluye inercia y ejemplos vinculados con sistemas vibratorios."
"U02-02","Segunda ley de Newton","2","2.2","covered","conceptual, algebraica y de cálculo","fuerza, masa, aceleración","Se utiliza para derivar o interpretar modelos oscilatorios."
"U02-03","Tercera ley de Newton","2","2.2","covered","conceptual y aplicada","vectores cualitativos","Aclara que acción y reacción actúan sobre cuerpos distintos."
"U02-04","Calor","2","2.6","covered","conceptual y de balance","temperatura y energía intuitivas","El libro distingue calor de temperatura."
"U02-05","Entropía","2","2.7","covered","cualitativa con interpretación física","energía interna, procesos","La profundidad esperada es conceptual, no estadístico-mecánica."
"U02-06","Principio de conservación de la energía","2","2.5–2.7","covered","conceptual y de cálculo básico","trabajo, energía cinética y potencial","Se conecta con pérdidas, amortiguamiento y transmisión acústica."
"U02-X1","Trabajo, energía cinética, potencial elástica e interna","2","2.5–2.6","out_of_scope","ampliación estructural","álgebra elemental","Necesario para sostener conservación y sistemas vibratorios."
"U02-X2","Modelo masa–resorte–amortiguador","2","2.3–2.4","out_of_scope","ampliación preparatoria","leyes de Newton","Prepara U3, resonancia y modelos auditivos."
"U02-X3","Velocidad del sonido como propiedad termodinámica del medio","2","2.8","out_of_scope","ampliación conceptual","densidad, elasticidad, temperatura","Prepara U4 y U9."
"U03-01","Movimiento oscilatorio","3","3.1–3.3","covered","conceptual, gráfica y matemática","funciones, trigonometría, dinámica","Incluye equilibrio, elongación, amplitud, período y frecuencia."
"U03-02","Movimiento armónico simple","3","3.2–3.4","covered","formalización básica","seno/coseno, período, frecuencia","Se expresa temporalmente y se vincula con masa–resorte."
"U03-03","Movimiento ondulatorio","3","3.5–3.8","covered","conceptual, gráfica y matemática","MAS, espacio y tiempo","Diferencia oscilación local de propagación."
"U03-04","Tono puro emitido por un parlante","3","3.9","covered","modelo físico aplicado","MAS, onda, presión","Conecta el desplazamiento del parlante con variaciones de presión."
"U03-05","Definición y ecuación de tono puro","3","3.9","covered","formalización matemática","seno, frecuencia, fase","La ecuación se interpreta término por término."
"U03-06","Frecuencia","3","3.2–3.4","covered","conceptual y de cálculo","tiempo, razón","Se mantiene f en Hz y la relación f=1/T."
"U03-07","Período","3","3.2–3.4","covered","conceptual y de cálculo","tiempo, función inversa","Se mantiene T en s."
"U03-08","Amplitud","3","3.1–3.4; 3.9","covered","conceptual y gráfica","lectura de ejes","Debe distinguirse de energía, intensidad y sonoridad."
"U03-09","Fase","3","3.4; 3.9","covered","conceptual y gráfica","trigonometría","Se prepara para interferencia, coherencia y Fourier."
"U03-10","Longitud de onda","3","3.6–3.8","covered","conceptual y de cálculo","velocidad, frecuencia","Incluye λ=c/f y lectura espacial."
"U03-X1","Frecuencia angular y número de onda","3","3.4; 3.7","out_of_scope","ampliación formal útil","frecuencia, longitud de onda","Conviene usarlos solo donde simplifiquen la representación."
"U03-X2","Superposición e interferencia","3","3.10","out_of_scope","ampliación preparatoria","fase y amplitud","Prepara suma energética, filtros y fenómenos de propagación."
"U04-01","Naturaleza del sonido y definiciones física y psicoacústica","4","4.1–4.2","covered","conceptual integradora","onda, magnitud física y descriptor perceptual","Mantener separados estímulo, medición y experiencia."
"U04-02","Generación del sonido","4","4.2–4.3","covered","mecánica y aplicada","vibración, presión","Incluye fuente, medio y receptor."
"U04-03","Elasticidad del medio","4","4.3","covered","conceptual","fuerza, presión, densidad","Se relaciona con velocidad de propagación."
"U04-04","Propiedades de las ondas sonoras","4","4.3–4.5","covered","conceptual y matemática","U3 completa","Incluye longitudinalidad, propagación, frecuencia, amplitud y fase."
"U04-05","Velocidad de propagación","4","4.4","covered","conceptual y de cálculo","densidad, elasticidad, temperatura","Distinguir c de velocidad de partícula."
"U04-06","Reflexión e impedancia acústica","4","4.6–4.7","covered","conceptual y cuantitativa básica","presión, velocidad de partícula","Se profundiza en U9 y se aplica al oído medio en U6."
"U04-07","Campo acústico","4","4.8–4.10","covered","conceptual y geométrica","fuente, distancia, presión","Distingue campo libre, cercano/lejano y contribuciones reverberantes."
"U04-08","Propagación esférica y cilíndrica","4","4.8–4.9","covered","geométrica y de cálculo","área, distancia","Se presentan como modelos ideales y con límites explícitos."
"U04-09","Tono puro","4","4.11","covered","recuperación y ampliación","U3","Se reutiliza como patrón de referencia para magnitudes acústicas."
"U04-10","Valor promedio y valor eficaz RMS","4","4.11–4.12","covered","conceptual y de cálculo","promedio, cuadrado y raíz","Se explicita que una senoide simétrica tiene promedio cero pero RMS no nulo."
"U04-11","Sonidos complejos","4","4.13","covered","conceptual y gráfica","superposición, tono puro","Prepara análisis frecuencial en U5."
"U04-12","Presión acústica","4","4.5; 4.11–4.14","covered","formal y aplicada","presión, onda","Mantener p(t), p_rms y p_ref diferenciados."
"U04-13","Decibel y nivel de presión sonora","4","4.14–4.16","covered","conceptual, logarítmica y de cálculo","logaritmos, RMS","Incluye referencia aérea de 20 µPa y advertencia sobre otras referencias."
"U04-14","Percepción del sonido","4","4.1; 4.17","covered","puente introductorio","presión, frecuencia, nivel","La formalización psicoacústica corresponde a U7."
"U04-15","Fuentes coherentes y no coherentes","4","4.18","covered","conceptual y de cálculo básico","fase, superposición","Aclara suma de presiones frente a suma de energías/niveles."
"U04-16","Suma energética de niveles","4","4.18–4.19","covered","cuantitativa","logaritmos, intensidad","Incluye casos iguales y desiguales."
"U04-17","Referencias y nomenclatura en aire y agua","4","4.15–4.16","covered","metrológica","nivel y referencia","No comparar dB sin declarar referencia y medio."
"U04-18","Campo libre y fuente omnidireccional","4","4.8–4.10","covered","modelo ideal aplicado","geometría y nivel","Base para ley de distancia."
"U04-19","Ley del inverso del cuadrado","4","4.9–4.10","covered","conceptual y de cálculo","área esférica, logaritmos","Relaciona intensidad 1/r² con cambio aproximado de −6 dB por duplicar distancia."
"U04-20","Factor de directividad y directividad","4","4.10","covered","conceptual y cuantitativa básica","fuente ideal, nivel","Mantener Q y DI diferenciados."
"U04-21","Variación del nivel con la distancia","4","4.9–4.10","covered","de cálculo y aplicada","logaritmos, campo libre","Explicitar condiciones de validez."
"U04-X1","Intensidad, potencia, energía y niveles asociados","4","4.12–4.16","out_of_scope","ampliación necesaria","energía, área, tiempo","Evita reducir toda magnitud acústica a presión sonora."
"U04-X2","Onda plana y relación p/u","4","4.6","out_of_scope","ampliación formal","impedancia","Útil como idealización; no debe generalizarse sin condiciones."
"U05-01","Serie de Fourier","5","5.2–5.4","covered","conceptual, gráfica y matemática básica","sinusoides, suma, fase","Se prioriza la descomposición como modelo."
