"asset_id","unit","slide_id","type","title","description","pedagogical_purpose","source_url","creator","organization","license","access_date","local_path","status","credit_text","notes"
"U01-CH001","01","U01-001;U01-007–U01-009;U01-012;U01-014;U01-079","diagrama editable","Fuente–medio–receptor","Cadena modular con ejemplos intercambiables y respuesta del receptor.","Modelo visual troncal de la unidad.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","units/unit_01/assets/generated/u01_ch001_fuente_medio_receptor/u01_fig_001_fuente_medio_receptor.svg","approved","Elaboración propia a partir del libro del curso.","Generado en SVG y PNG 16:9; incluye script, datos y metadatos."
"U01-CH002","01","U01-010","animación y diagrama","Propagación y oscilación local","Partículas que oscilan alrededor del equilibrio mientras avanza una compresión.","Distinguir propagación de transporte neto de materia.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","units/unit_01/assets/generated/u01_ch002_propagacion_particulas/u01_fig_002_propagacion_particulas.svg","approved","Elaboración propia; modelo conceptual, no a escala.","SVG/PNG de tres estados y GIF propio; modelo conceptual no a escala."
"U01-CH003","01","U01-017","diagrama anotado","Anatomía de una medición","Etiquetas sobre d = 2 m para magnitud, símbolo, valor y unidad.","Fijar la gramática de un resultado físico.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","units/unit_01/assets/generated/u01_ch003_magnitud_valor_unidad/u01_fig_003_magnitud_valor_unidad.svg","approved","Elaboración propia.","Generado y revisado; variable en cursiva y unidad en redonda."
"U01-CH004","01","U01-019","árbol conceptual","Magnitudes fundamentales y derivadas","Árbol de tres magnitudes base hacia unidades derivadas relevantes.","Evitar interpretar 'derivada' como 'menos importante'.","https://www.bipm.org/en/publications/si-brochure","Equipo docente","UCASAL","Elaboración propia basada en BIPM CC BY 4.0","2026-07-28","units/unit_01/assets/generated/u01_ch004_si_base_derivadas/u01_fig_004_si_base_derivadas.svg","approved","Elaboración propia basada en BIPM, SI Brochure, 9.ª ed., actualización 2026.","Generado y validado contra las relaciones SI del plan."
"U01-CH005","01","U01-021","diagrama editable","Construcción de unidades derivadas","m/s; kg·m/s² = N; N/m² = Pa por etapas.","Mostrar que la operación física se conserva en la unidad.","https://www.bipm.org/en/publications/si-brochure","Equipo docente","UCASAL","Elaboración propia basada en BIPM CC BY 4.0","2026-07-28","units/unit_01/assets/generated/u01_ch005_construccion_unidades/u01_fig_005_construccion_unidades.svg","approved","Elaboración propia basada en BIPM.","Versión final estática generada en SVG y PNG."
"U01-CH006","01","U01-022","tabla editable","Mapa de magnitudes de la Unidad 1","Magnitud, símbolo, relación y unidad de las variables centrales.","Orientar sin presentar todas las fórmulas simultáneamente.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","units/unit_01/assets/generated/u01_ch006_mapa_magnitudes/u01_fig_006_mapa_magnitudes.svg","approved","Elaboración propia a partir del capítulo de Unidad 1.","Respaldo SVG/PNG generado; conservar preferencia por tabla nativa al montar."
"U01-CH007","01","U01-025–U01-027","diagrama técnico","Distancia, intervalo, rapidez y propagación","Trayecto, reloj, vector y frente de perturbación con partícula local.","Coordinar situación, símbolos y diferencias terminológicas.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","units/unit_01/assets/generated/u01_ch007_cinematica_propagacion/u01_fig_007_cinematica_propagacion.svg","approved","Elaboración propia; esquema conceptual.","Generado y rotulado como esquema conceptual no a escala."
"U01-CH008","01","U01-028–U01-029","diagrama de cálculo","Tiempo de propagación y unidades","Recorrido de 100 m y cancelación m ÷ (m/s) = s.","Vincular modelo, cálculo y control dimensional.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","units/unit_01/assets/generated/u01_ch008_tiempo_propagacion/u01_fig_008_tiempo_propagacion.svg","approved","Elaboración propia; c = 343 m/s cerca de 20 °C según fuente citada en el libro.","Cálculo 100/343 y redondeo a 0,29 s verificados."
"U01-CH009","01","U01-030–U01-031","comparación técnica","Masa y peso","Inercia/masa frente a fuerza gravitatoria/peso y efecto de g.","Corregir una confusión persistente.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","units/unit_01/assets/generated/u01_ch009_masa_peso/u01_fig_009_masa_peso.svg","approved","Elaboración propia.","Generado y revisado; distingue kg de N."
"U01-CH010","01","U01-032–U01-034","serie de diagramas","Fuerza, presión y densidad","Tres escenas coherentes para F = ma, p = F⊥/S y ρ = m/V.","Dar significado físico antes de operar.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","units/unit_01/assets/generated/u01_ch010_fuerza_presion_densidad/u01_fig_010_fuerza_presion_densidad.svg","approved","Elaboración propia.","Composición maestra generada; escenas conceptuales declaradas no a escala."
"U01-CH011","01","U01-024;U01-035","red editable","Red de magnitudes conectadas","Red progresiva d,t,v,m,a,F,S,p,V,ρ con unidades.","Integrar relaciones y preparar dimensiones.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","units/unit_01/assets/generated/u01_ch011_red_magnitudes/u01_fig_011_red_magnitudes.svg","approved","Elaboración propia a partir del TikZ del libro.","Versión completa generada como referencia para reconstrucción editable."
"U01-CH012","01","U01-036–U01-038","diagrama numérico","Notación científica y 20 µPa","Zoom decimal y equivalencia entre escritura decimal, potencia y prefijo.","Hacer visible el orden de magnitud.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","units/unit_01/assets/generated/u01_ch012_notacion_20uPa/u01_fig_012_notacion_20uPa.svg","approved","Elaboración propia a partir del ejemplo del libro.","Equivalencia decimal, científica y con prefijo verificada."
"U01-CH013","01","U01-039–U01-040","tabla y escalera","Prefijos frecuentes","k, unidad, m y µ con factores y ejemplos.","Dar sentido a conversiones y mayúsculas/minúsculas.","https://www.bipm.org/en/publications/si-brochure","Equipo docente","UCASAL","Elaboración propia basada en BIPM CC BY 4.0","2026-07-28","units/unit_01/assets/generated/u01_ch013_prefijos/u01_fig_013_prefijos.svg","approved","Elaboración propia basada en BIPM.","Factores 10³, 10⁰, 10⁻³ y 10⁻⁶ verificados."
"U01-CH014","01","U01-041–U01-043;U01-087","diagrama dimensional","Dependencias [M], [L], [T]","Mapa corto y extendido hacia velocidad, aceleración, fuerza, presión y densidad.","Usar dimensiones como detector de errores.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","units/unit_01/assets/generated/u01_ch014_dependencias_dimensionales/u01_fig_014_dependencias_dimensionales.svg","approved","Elaboración propia a partir del TikZ del libro.","Relaciones dimensionales y advertencia necesaria/no suficiente verificadas."
"U01-CH015","01","U01-046–U01-047","gráfico cartesiano","Distancia como función del tiempo","Tabla, ecuación y recta d(t) = ct con ejes y unidades.","Coordinar registros de una función.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","units/unit_01/assets/generated/u01_ch015_funcion_distancia/u01_fig_015_funcion_distancia.svg","approved","Elaboración propia; datos matemáticos exactos.","Script reproducible y CSV incluidos; d(5 s)=20 m verificado."
"U01-CH016","01","U01-044–U01-051","diagrama de correspondencias","Función directa e inversa","Entradas, regla, salidas, inversión y contraejemplo no unívoco.","Diferenciar función, dominio e inversa.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","units/unit_01/assets/generated/u01_ch016_funcion_inversa/u01_fig_016_funcion_inversa.svg","approved","Elaboración propia a partir del TikZ del libro.","Diagrama generado con directa, inversa y contraejemplo."
"U01-CH017","01","U01-052","comparación algebraica","Inversa frente a recíproco","f⁻¹(x) = x/2 frente a 1/f(x) = 1/(2x) y prueba por composición.","Corregir el error inversa/recíproco.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","units/unit_01/assets/generated/u01_ch017_inversa_reciproco/u01_fig_017_inversa_reciproco.svg","approved","Elaboración propia.","Comparación algebraica y restricción x ≠ 0 verificadas."
"U01-CH018","01","U01-053–U01-057;U01-090","diagrama geométrico","Triángulo rectángulo y razones","Triángulo parametrizado y variante 3–4–5.","Identificar lados y aplicar seno, coseno y tangente.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","units/unit_01/assets/generated/u01_ch018_triangulo_razones/u01_fig_018_triangulo_razones.svg","approved","Elaboración propia.","Triángulo 3–4–5 y razones 3/5, 4/5 y 3/4 verificados."
"U01-CH019","01","U01-053;U01-058–U01-061;U01-090","gráfico geométrico","Círculo unitario y radianes","Arco, orientación, grados, radianes y proyecciones cos/sin.","Preparar periodicidad y fase.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","units/unit_01/assets/generated/u01_ch019_circulo_unitario/u01_fig_019_circulo_unitario.svg","approved","Elaboración propia a partir del TikZ del libro.","Radio unitario, proyecciones y equivalencia 360° = 2π rad verificados."
"U01-CH020","01","U01-062–U01-067","gráfico cartesiano","Exponencial y logaritmo","Tabla, 10ˣ, log10(x), recta y = x y puntos correspondientes.","Mostrar cambio multiplicativo e inversión.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","units/unit_01/assets/generated/u01_ch020_exponencial_log/u01_fig_020_exponencial_log.svg","approved","Elaboración propia; funciones matemáticas exactas.","Dominio del logaritmo y puntos inversos verificados; CSV incluido."
"U01-CH021","01","U01-069","comparación de escalas","Escala lineal y logarítmica","Posición de 1,10,100,1000 en dos ejes de igual ancho.","Distinguir diferencias de razones.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","units/unit_01/assets/generated/u01_ch021_escalas_lineal_log/u01_fig_021_escalas_lineal_log.svg","approved","Elaboración propia a partir del TikZ del libro.","Escalas y ticks explícitos verificados; CSV incluido."
"U01-CH022","01","U01-070–U01-071","gráfico/diagrama","Razón de potencia y decibel","Q/Q0 = 1,10,100,1000 frente a 0,10,20,30 dB.","Mostrar referencia y carácter logarítmico.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","units/unit_01/assets/generated/u01_ch022_razon_db/u01_fig_022_razon_db.svg","approved","Elaboración propia; LQ = 10 log10(Q/Q0).","Transformación 1→0, 10→10, 100→20 y 1000→30 dB verificada."
